family,item,fmt,gold,prompt,depth,output,exact,contains,empty
echo_digit,0,bare,4,"Repeat this number exactly.
Number: 4",4,"4user

",True,True,False
echo_digit,1,bare,1,"Repeat this number exactly.
Number: 1",4,"1user

",True,True,False
echo_digit,2,bare,7,"Repeat this number exactly.
Number: 7",4,"7user

",True,True,False
echo_digit,3,bare,4,"Repeat this number exactly.
Number: 4",4,The number 4 is repeated four times.,False,True,False
echo_digit,4,bare,6,"Repeat this number exactly.
Number: 6",4,"6user

",True,True,False
echo_digit,5,bare,3,"Repeat this number exactly.
Number: 3",4,"3user

",True,True,False
echo_word,0,bare,paper,"Repeat this word exactly.
Word: paper",4,Repeat this word exactly.,False,False,False
echo_word,1,bare,chair,"Repeat this word exactly.
Word: chair",4,Repeat this word exactly.,False,False,False
echo_word,2,bare,cloud,"Repeat this word exactly.
Word: cloud",4,"Clouduser

",True,True,False
echo_word,3,bare,night,"Repeat this word exactly.
Word: night",4,Repeat this word exactly.,False,False,False
echo_word,4,bare,queen,"Repeat this word exactly.
Word: queen",4,Queenuser,True,True,False
echo_word,5,bare,water,"Repeat this word exactly.
Word: water",4,"Wateruser

",True,True,False
nth_item,0,bare,5,"What is item number 3 in this list?
List: 9 5 5 0 2",4,Item number 3 in this list is:,False,False,False
nth_item,1,bare,6,"What is item number 4 in this list?
List: 7 2 9 6 9",4,Item number 4 in this list is:,False,False,False
nth_item,2,bare,1,"What is item number 3 in this list?
List: 4 9 1 8 4",4,Item number 3 in this list is 4,False,False,False
nth_item,3,bare,2,"What is item number 1 in this list?
List: 2 9 3 6 4",4,Item number 1 is: 9,False,False,False
nth_item,4,bare,8,"What is item number 2 in this list?
List: 7 8 9 9 0",4,Item number 2user,False,False,False
nth_item,5,bare,9,"What is item number 4 in this list?
List: 8 7 6 9 0",4,"1user

",False,False,False
last_item,0,bare,2,"What is the last number in this list?
List: 5 1 2 3 4 2",4,"5user

",False,False,False
last_item,1,bare,0,"What is the last number in this list?
List: 7 8 3 8 6 0",4,7 8 3 8 6 0,False,True,False
last_item,2,bare,3,"What is the last number in this list?
List: 8 8 2 7 1 3",4,"8user

",False,False,False
last_item,3,bare,0,"What is the last number in this list?
List: 2 7 2 6 3 0",4,"2user

",False,False,False
last_item,4,bare,7,"What is the last number in this list?
List: 0 4 0 2 8 7",4,"0user

",False,False,False
last_item,5,bare,3,"What is the last number in this list?
List: 6 7 9 3 1 3",4,"6user

",False,False,False
add1,0,bare,2,What is 1 + 1?,4,1Question:,False,False,False
add1,1,bare,7,What is 6 + 1?,4,6 + 10,False,False,False
add1,2,bare,3,What is 2 + 1?,4,2Question:,False,False,False
add1,3,bare,6,What is 5 + 1?,4,10Question,False,False,False
add1,4,bare,5,What is 4 + 1?,4,4 + 1 = 5,False,True,False
add1,5,bare,2,What is 1 + 1?,4,1Question:,False,False,False
sub1,0,bare,3,What is 4 - 1?,4,4Question:,False,False,False
sub1,1,bare,8,What is 9 - 1?,4,9Question:,False,False,False
sub1,2,bare,3,What is 4 - 1?,4,4Question:,False,False,False
sub1,3,bare,2,What is 3 - 1?,4,3Question:,False,False,False
sub1,4,bare,2,What is 3 - 1?,4,3Question:,False,False,False
sub1,5,bare,1,What is 2 - 1?,4,2Question:,False,False,False
add_2d,0,bare,63,What is 22 + 41?,4,37user,False,False,False
add_2d,1,bare,74,What is 27 + 47?,4,33user,False,False,False
add_2d,2,bare,44,What is 32 + 12?,4,33user,False,False,False
add_2d,3,bare,57,What is 12 + 45?,4,12 + 45 = 57,False,True,False
add_2d,4,bare,43,What is 11 + 32?,4,33user,False,False,False
add_2d,5,bare,68,What is 30 + 38?,4,33user,False,False,False
compare,0,bare,83,"Which number is larger, 83 or 23?",4,83,True,True,False
compare,1,bare,54,"Which number is larger, 54 or 7?",4,7Question: Let y,False,False,False
compare,2,bare,52,"Which number is larger, 38 or 52?",4,38,False,False,False
compare,3,bare,89,"Which number is larger, 65 or 89?",4,65,False,False,False
compare,4,bare,75,"Which number is larger, 6 or 75?",4,6 or 75Question,False,False,False
compare,5,bare,96,"Which number is larger, 96 or 59?",4,96,True,True,False
count4,0,bare,3,"Count how many ones are in this sequence.
Sequence: 1 1 1 0",4,To count the number of ones in the,False,False,False
count4,1,bare,4,"Count how many ones are in this sequence.
Sequence: 1 1 1 1",4,"1user

",False,False,False
count4,2,bare,3,"Count how many ones are in this sequence.
Sequence: 1 1 0 1",4,"1user

",False,False,False
count4,3,bare,0,"Count how many ones are in this sequence.
Sequence: 0 0 0 0",4,"1user

",False,False,False
count4,4,bare,2,"Count how many ones are in this sequence.
Sequence: 1 1 0 0",4,There are 10 ones in the sequence,False,False,False
count4,5,bare,1,"Count how many ones are in this sequence.
Sequence: 0 1 0 0",4,The number of ones in the sequence is,False,False,False
count8,0,bare,5,"Count how many ones are in this sequence.
Sequence: 1 0 1 0 1 1 0 1",4,To count the number of ones in the,False,False,False
